driverId,week,hours-logged,miles-logged
68,4,78,600
105,40,76,800
11,41,64,1500
39,40,75,3500
43,9,60,1200
72,30,69,1500
54,44,67,3300
34,6,65,3800
29,30,52,1900
96,41,52,1800
69,41,57,3100
51,8,67,2700
104,13,72,3600
29,33,71,500
101,19,59,1500
97,27,50,2600
31,23,78,1300
52,45,73,2100
82,5,60,200
101,51,80,1900
11,40,76,4000
30,48,69,1700
84,2,80,3100
17,41,67,2000
107,23,76,300
73,21,71,2000
90,32,76,0
36,32,55,1000
48,26,76,3100
24,5,76,2300
89,31,59,500
70,38,50,0
60,50,67,1000
101,23,60,3300
82,39,69,1300
108,44,75,2500
40,4,56,500
31,44,58,2900
31,42,57,0
37,44,79,1200
34,4,74,3900
106,10,53,100
42,51,77,1300
76,44,55,1500
51,13,72,2700
49,19,67,3100
31,18,51,3300
57,17,62,100
53,31,67,1900
27,30,54,2900
96,36,67,3000
83,9,51,3100
104,17,54,1400
55,5,78,0
29,40,77,2900
80,14,73,3700
46,26,72,1100
74,8,62,1100
45,21,77,2400
65,1,65,1300
80,13,59,1600
95,36,78,3800
33,45,51,1900
105,18,57,400
60,8,67,1900
44,43,73,600
19,5,56,3000
11,2,71,3900
91,43,51,1200
105,5,65,1600
103,31,53,100
74,5,55,1100
109,27,67,0
83,17,74,1200
76,33,51,3500
92,2,69,600
101,19,77,2400
43,49,62,1600
31,20,62,2000
20,17,74,2600
91,18,71,1600
86,29,55,2400
17,2,53,2500
23,35,58,300
29,46,78,3900
54,46,57,1200
42,52,70,500
24,37,52,3700
100,45,70,3500
103,10,69,2700
42,26,78,3700
74,3,77,3900
27,41,55,1800
79,36,55,3900
72,48,53,900
12,38,74,400
82,29,57,1300
74,7,80,3900
74,26,57,400
15,38,69,1200
54,38,57,1000
59,16,77,2900
40,32,65,3800
31,20,69,2700
98,17,57,1400
87,36,60,3500
36,21,78,2300
107,28,70,500
30,47,79,3100
54,30,69,4000
74,2,77,500
30,19,69,0
99,34,73,4000
85,6,73,200
19,50,80,1500
83,51,51,800
14,27,75,1000
52,16,57,900
32,1,62,400
75,11,51,1100
93,14,73,1200
23,3,54,3500
11,28,77,3700
74,33,67,3600
19,48,74,3400
75,49,69,2400
100,43,54,3400
51,13,55,1600
32,29,59,2100
30,29,72,2900
75,4,62,2700
49,24,69,2100
62,42,60,1900
90,26,65,400
52,10,60,1600
105,35,73,700
71,34,56,3100
54,41,65,3200
32,40,69,1200
44,44,52,2100
37,45,53,1800
31,19,64,1300
90,50,64,700
100,17,53,0
85,27,57,1400
69,25,77,800
43,15,69,3600
10,26,67,0
69,26,70,1800
45,11,60,1100
53,17,50,2200
15,8,72,1800
39,2,79,3700
67,20,54,800
46,46,72,500
16,32,52,3800
35,44,61,700
36,23,63,2100
80,44,76,2200
20,47,50,500
64,28,69,0
78,47,70,2600
73,21,52,1100
26,27,50,0
50,34,53,2700
35,45,52,1900
31,28,58,3100
44,30,66,1800
76,43,73,2000
63,47,77,700
109,10,54,900
77,42,73,1200
10,39,52,3200
28,18,54,1300
45,47,58,2800
87,11,55,3200
104,17,52,100
75,8,52,3600
71,21,64,100
78,31,72,2800
39,7,69,1300
72,24,74,2900
84,15,75,2700
108,6,66,4000
52,23,59,800
84,7,56,0
18,47,62,300
50,36,57,1700
101,43,63,1400
34,16,58,2700
99,26,53,1400
68,1,71,2700
48,36,59,3200
25,16,72,2800
48,43,50,200
12,52,69,2600
38,20,62,700
105,23,61,1700
81,17,72,1200
32,52,59,1600
26,26,68,2100
107,1,67,500
38,45,70,2700
75,35,69,2200
22,50,63,2700
44,8,60,800
98,42,80,1600
25,42,63,2200
87,45,79,2500
32,27,70,3300
22,11,77,2500
77,36,74,2600
47,27,70,3500
52,18,73,2200
80,52,50,400
13,32,55,1500
40,16,72,3500
30,10,76,4000
44,43,69,2800
20,29,64,3100
78,44,62,100
57,30,58,0
52,20,57,2400
88,5,67,3500
20,32,74,3400
91,29,62,3500
74,5,63,2800
103,3,77,2900
72,49,79,3300
81,14,67,2600
42,16,69,1000
92,24,67,1700
90,18,77,3700
93,41,52,3800
39,9,77,3700
15,19,51,2600
22,37,66,3400
26,14,53,1200
72,11,75,3900
103,22,51,100
14,17,56,2600
15,1,56,2000
54,40,76,800
37,19,55,1000
108,19,79,2500
58,2,74,0
40,26,76,2300
102,3,55,4000
97,18,79,3300
45,51,72,900
69,10,64,500
69,52,54,2000
48,15,79,2200
19,30,63,3500
72,25,63,900
42,8,78,3800
22,5,50,0
94,7,72,700
25,18,61,2000
63,42,61,3800
70,39,50,3700
67,5,63,3200
12,28,55,2200
42,8,63,200
81,35,61,2200
98,43,51,800
93,46,74,300
40,24,68,300
87,13,59,1700
106,40,61,800
12,42,55,1100
67,5,77,3500
67,33,59,3700
36,33,54,100
91,3,74,3400
39,37,78,3400
61,2,54,2200
35,12,78,3200
86,24,79,2700
98,25,72,3800
37,22,71,2800
37,14,71,300
78,26,75,1600
32,45,66,800
73,40,54,1400
35,37,52,0
94,37,64,2000
18,10,54,2500
96,40,75,2200
15,33,53,600
23,3,55,1400
45,51,79,100
108,49,79,500
60,34,50,2300
39,23,69,3200
105,38,64,500
72,48,50,3500
17,33,67,3400
79,36,54,900
78,28,76,2800
71,17,60,3800
63,41,67,1100
30,51,58,1300
13,9,69,3400
11,32,63,3000
39,17,56,2100
83,52,52,2800
106,4,67,2100
32,25,51,3100
48,33,56,1700
11,39,73,3400
29,28,66,2700
37,45,67,2600
59,26,67,1900
18,11,66,700
17,14,53,1400
83,21,75,1500
89,25,65,2600
75,33,53,2900
104,1,64,1900
22,34,79,3500
96,46,53,1100
49,22,71,400
99,48,80,3300
71,8,69,3200
59,27,79,2000
70,16,66,2700
95,27,61,2900
29,38,53,700
72,1,71,2900
39,42,70,1400
83,24,60,600
102,16,52,700
53,12,56,1700
61,44,51,900
65,5,66,700
10,36,79,4000
61,5,75,3500
100,37,78,2700
104,9,59,1800
83,4,51,3900
96,12,79,1000
74,40,72,3400
91,7,77,700
60,5,61,1500
99,39,57,1300
11,19,71,4000
102,6,77,1100
42,31,55,2400
90,37,68,2500
36,38,58,3200
46,25,61,300
88,8,60,1900
64,9,66,2700
97,13,70,3400
47,29,58,1800
86,40,76,3400
97,16,76,1100
13,6,50,2900
77,32,73,1800
47,35,70,2600
44,11,78,1200
29,27,57,3600
18,40,54,2800
38,21,67,1300
93,20,66,1900
83,37,75,400
83,46,72,2700
23,49,73,1200
62,20,57,2100
82,25,58,2100
61,37,77,1300
103,29,50,1700
106,18,60,3900
41,42,50,1500
66,6,59,3700
50,36,66,4000
68,10,54,1200
22,41,77,300
97,51,74,1400
67,49,71,2000
63,17,68,500
71,23,63,100
45,9,53,2700
92,38,58,2700
107,9,80,0
89,38,53,500
71,46,72,2700
38,46,72,600
48,35,72,2100
83,25,52,100
105,12,54,1200
102,32,76,1200
15,6,63,2000
47,10,51,2700
75,2,50,2200
82,33,68,2100
88,40,65,1600
103,31,70,600
84,1,78,3600
108,3,71,3100
101,17,53,3500
36,30,67,1900
72,23,56,2000
25,34,61,200
18,42,79,1300
53,9,80,500
43,24,50,1200
23,43,50,300
31,45,73,800
65,38,59,1500
92,19,63,2400
94,6,61,2900
23,51,65,3900
43,41,53,1000
34,3,73,3000
74,35,65,1400
36,1,63,500
87,44,75,2100
87,2,73,3100
56,42,55,2000
56,18,64,2400
90,50,50,100
101,50,80,3200
88,29,77,1400
50,35,57,1500
81,36,56,3800
94,45,61,900
34,15,70,0
103,26,52,2100
58,40,55,1200
99,21,75,300
96,47,77,2800
84,45,51,2500
65,9,80,1900
84,5,50,3200
40,20,74,3400
75,47,52,1100
52,2,72,1000
99,37,74,1800
17,13,74,1400
45,38,56,1900
82,40,78,2100
28,49,68,3700
68,36,60,3100
96,11,76,200
47,50,66,1500
84,38,57,1500
59,50,58,2800
107,48,52,1900
93,30,74,1200
77,50,78,2900
51,28,70,1100
68,36,74,1000
94,24,60,1300
49,8,52,2800
24,7,71,3100
66,37,79,2100
43,15,63,0
60,15,57,900
84,37,80,2500
35,19,58,100
25,27,76,3800
41,20,80,1000
34,12,53,3800
35,8,75,1300
33,25,79,400
84,25,68,800
93,16,76,1800
20,3,67,1500
53,10,79,400
61,42,55,2400
83,27,71,1000
90,15,75,400
40,15,68,2300
10,32,60,1000
97,38,53,1300
55,3,51,1100
62,50,71,0
89,13,57,800
83,15,54,2900
35,33,66,200
16,46,54,4000
81,35,64,1000
70,48,77,1900
67,9,74,1200
